id,Title,Date,Creator,Description,Provider,Thumbnail,URL
02cee62bd1a454fbd81913f0e02a8ca3,"Naval Shipyards",,"Rogers, Kenneth, 1907-1989","View of women working on a ship at the J.A. Jones Construction Company shipyard in Brunswick, Georgia. Originally developed by Brunswick Marine Construction, the J.A. Jones Construction Company operat…","Atlanta History Center",https://dp.la/thumb/02cee62bd1a454fbd81913f0e02a8ca3,http://album.atlantahistorycenter.com/cdm/ref/collection/Rogers/id/1653
063e4c35724abaa1e3fa26fb6c45a9cc,"Woman in work gear standing next to building with airplane in background",,,"On back: ”Jersch,” now O'Rourke","University of Utah - J. Willard Marriott Library",https://dp.la/thumb/063e4c35724abaa1e3fa26fb6c45a9cc,https://utah-primoprod.hosted.exlibrisgroup.com/primo-explore/fulldisplay?docid=digcoll_uuu_11uum_map/1968540&context=L&vid=MWDL
0f60f90fbd51dc40bde84a4b43e5a41b,"Women Picking Potatoes in Crates and Loading on Automatic Loader, Northeastern Ohio",,"Harry L. Sampson","Women Picking Potatoes in Crates and Loading on Automatic Loader, Northeastern Ohio.","UC Riverside, California Museum of Photography",https://dp.la/thumb/0f60f90fbd51dc40bde84a4b43e5a41b,http://ark.cdlib.org/ark:/13030/kt2199p7qp
18251634d3e37d12f0be15636e0f3e35,"Women and Wartime Employment",,,"Women entered the workforce in unprecedented numbers during World War II, often working in traditionally male-dominated fields. Here, women at the Union Point Manufacturing Company in Greene County ar…","New Georgia Encyclopedia (Project)",https://dp.la/thumb/18251634d3e37d12f0be15636e0f3e35,https://www.georgiaencyclopedia.org/articles/history-archaeology/world-war-ii-in-georgia/m-10378/
18bebc1ced02a4826cbfca01f3c6e866,"J. C. Penny Employees",,"Gulfport Photo-Movie Service","J. C. Penney Department Store fromally opens enlarged, renovated store. Employees, Gulfport, Mississippi, 1957.","Mississippi State University. Libraries",https://dp.la/thumb/18bebc1ced02a4826cbfca01f3c6e866,http://cdm16631.contentdm.oclc.org/cdm/ref/collection/charm/id/14271
2fc0e729c720dcbaa2963fa854b38262,"[Photograph of members of the Ladies Ornamental Shrine Patrol of the Bhalsti Court Number 25 from Atlanta, Atlanta, Fulton County, Georgia, ca. 1942]",,,"”Atlanta, Ga., ca. 1942. Members of the Ladies Ornamental Shrine Patrol of the Bhalsti Court Number 25 from Atlanta. The women are dressed in their street uniform consisting of a grey suit with white…","Georgia Archives",https://dp.la/thumb/2fc0e729c720dcbaa2963fa854b38262,https://dlg.usg.edu/record/dlg_vang_ful0934-84
4c2ba36f8c258e1b822a9616de28296b,"Female employee viewing B-1 building Original ID: 6.603.1-3474",,"Bell Aircraft Corporation","Female employee looking across the plant toward the B-1 building from a platform, circa 1944","Kennesaw State University. Department of Archives, Rare Books and Records Management",https://dp.la/thumb/4c2ba36f8c258e1b822a9616de28296b,http://hdl.handle.net/11360/191
5f2b4fce7d7e947defe7429a4c756f4e,"Six women in military uniforms, sitting and standing at a desk, reading papers. Photo commissioned by the DeKalb New Era",,"Lane Brothers Commercial Photographers (Atlanta, Ga.)","Envelope description: ”DeKalb New Era; Contest.” Although the negative envelope is marked ”1943,” no DeKalb New Era contest is listed in the 1943 Lane Brothers Assignment Book. One unscanned photo is…","Georgia State University. Special Collections",https://dp.la/thumb/5f2b4fce7d7e947defe7429a4c756f4e,http://digitalcollections.library.gsu.edu/cdm/ref/collection/lane/id/1327
6157a318271334d14fde830a27625d7d,"Raines in Uniform",,,"One of only twenty-five women chosen to wear the Air Transport Auxiliary uniform, Hazel Raines logged more flight hours than other pilot in the ATA. Photograph of Hazel Raines, the first woman in Geor…","New Georgia Encyclopedia (Project)",https://dp.la/thumb/6157a318271334d14fde830a27625d7d,https://www.georgiaencyclopedia.org/articles/business-economy/hazel-raines-1916-1956/m-4117/
67ed316a9f194e12ad339a4663d93d44,"Tuberculosis Testing",,"Lane Brothers","View of unidentified women viewing on tuberculosis exam results as part of a program sponsored by the Atlanta Anti-Tuberculosis Association (later named Atlanta Lung Association) in Atlanta, Georgia.…","Atlanta History Center",https://dp.la/thumb/67ed316a9f194e12ad339a4663d93d44,http://album.atlantahistorycenter.com/cdm/ref/collection/ALung/id/27
